workspace_id,name,department,executive_sponsor,submitted_by,contact_email,description,driver,value,users,align,justif,maturity,spend,volume,pain,tools,sources,dataavail,integrations,realtime,technotes,sensitivity,autonomy,pii,audit,adoption,change,delivery,addnotes,stage,status,delivered_at
,Rapid Cloud Customer Technical Assessment Assistant,Foundry,COO,Quality Engineering,reliability@intel.com,"Accurately generate a technical assessment of cloud customer request within minutes through an exhaustive reasoning across multiples specs, requirements, issues, bugs, fixes, etc. to help the architects/engineering team scope the execution for approval enabled by Design Knowledge Assistant.",Employee experience + cost-to-serve,15-25% inventory reduction,Planning org,Supply-chain resilience (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Statistical forecast in planning suite,"$7,500,000/yr",Enterprise IBP demand plan,High manual effort,ERP + spreadsheets,"ERP POs/invoices, contract repository",Available; external ingestion effort,Gemini for Google Workspace; Agentspace,Yes (API + streaming),Native connectors; low complexity,High,Supervised,FALSE,Yes,Medium,Low,Build (engineer it),Supervisor approval on auto work orders until precision >90% on pilot line,panel,,
,Automated IP Security Threat Modeling and Mitigation,IT,CFO,Supply Chain Planning,quality@intel.com,Accurately and completely model the security threats & vulnerabilities for newly developed IPs within hours while generating mitigation code with test script validation thereby saving on costly security bugs and PRT events enabled by Design Knowledge Assistant,Uptime + OEE,20-35% scrap/rework reduction,"110,000 employees",Supply-chain resilience (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Manual HR helpdesk + ticketing,"$5,200,000/yr (pre-automation)",Fleet-wide equipment,High manual effort; reactive,CMMS + preventive schedules,"ERP POs/invoices, contract repository",Available; MES integration effort,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,No (batch + API),Delivered on Document AI + reconciliation service,Medium,Supervised,FALSE,Yes,High,Medium,Build (engineer it),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,Automated Requirements Review and Gap Detection,Marketing,CHRO,Procurement Analytics,reliability@intel.com,"By improving the requirements, automating contextual review & improving quality, incorporating CCB input, identifying inconsistencies/gaps between specs and requirements through the use of Design Knowledge Assistant.",Uptime + OEE,20-35% scrap/rework reduction,600 AP + procurement staff,Margin recovery (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Post-hoc inspection + manual RCA,"$9,000,000/yr",Fleet-wide equipment,High manual effort; reactive,QM inspection + MES,"ERP POs/invoices, contract repository",Available across systems,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,Yes (streaming),Cross-system reconciliation; medium complexity,Medium,Supervised,TRUE,Yes,Medium,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Rapid Root Cause Identification and Corrective Planning,Marketing,CTO,HR Digital Team,ap-automation@intel.com,Correctly identifies in a minute root cause of an issue along with configuration with preventive validation steps & customer impact enabled by Design Knowledge Assistant. Thematically clustering the root causes across many issues to drive concrete corrective plans. ,Margin recovery,2-5% contract value recovered,Planning org,Asset uptime (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Manual spot-audit of contracts vs POs,"$9,000,000/yr",Fleet-wide equipment,Very high manual effort,ERP + spreadsheets,"IoT sensors (Pub/Sub), maintenance history",Available; sensor data quality varies,Vertex AI Forecasting + BigQuery ML,No,Native connectors; low complexity,Medium,Supervised,FALSE,Yes,Medium,Medium,Build (engineer it),PII redaction layer verified before GA,intake,,
,Automated Security Requirements Validation and Coverage,Legal,CFO,Reliability Engineering,ap-automation@intel.com,Automates the accurate validation & coverage of security requirements by cross referencing specifications and historical data avoiding costly late stage issues and enhancing risk mitigation enabled by Design Knowledge Assistant.,Yield + scrap cost,85% touchless match rate,"110,000 employees",Enterprise self-service (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Post-hoc inspection + manual RCA,"$4,000,000/yr",Enterprise IBP demand plan,High manual effort; reactive,Integrated business planning suite,"ERP POs/invoices, contract repository",Available; MES integration effort,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,Yes (API + streaming),Delivered on Document AI + reconciliation service,Medium,Advisory,FALSE,Yes,Medium,Medium,Adopt (start simple),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,AI-Assisted Silicon Design and Validation Engineering,Legal,CIO,Supply Chain Planning,quality@intel.com,"Enable human design engineers to do faster, accurate, better quality silicon design & validation leveraging AI agents to execute spec based design and validation enabled by Design Knowledge Assistant",Employee experience + cost-to-serve,85% touchless match rate,Planning org,Yield/quality (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Time-based preventive maintenance,"$6,000,000/yr","42,000 tickets/mo",High manual effort,ERP + spreadsheets,"ERP POs/invoices, contract repository",Available; MES integration effort,Vertex AI Forecasting + BigQuery ML,No,Defect prediction + RCA models; high complexity,Medium,Automated w/ exception review,FALSE,Yes,Medium,Medium,Extend (scale smart),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,AI-Ready Strategic Data Lake for Agents,Marketing,CHRO,Supply Chain Planning,quality@intel.com,Strategic data lake initiatives to provide AI Ready for agent development.,Working capital + service level,85% touchless match rate,Procurement + AP,Enterprise self-service (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Manual spot-audit of contracts vs POs,"$6,000,000/yr",<5% of contracts covered,High manual effort; late detection,CMMS + preventive schedules,"QM inspection, MES process params, BigQuery",Available; MES integration effort,Document AI; BigQuery; ERP connector,No (batch + API),Predictive models on streaming IoT; high complexity,Medium,Supervised,FALSE,Yes,Medium,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Comprehensive Product Risk Analysis and Gap Identification,Data Center Group,CIO,HR Digital Team,reliability@intel.com,"Build a Risk Analyzer AI agent that does comprehensive risk analysis based on 360 view of the product (requirements, specs, defects, customer response, reuse from past product, historical data, PXT meeting minutes, expert opinions etc.). Assess inherited risk from previous product generations (ex., Diamond Rapids), analyze current product specific risk (ex., Coral Rapids), identify gaps  and provide quantitative and qualitative risk outputs",Uptime + OEE,15-25% inventory reduction,600 AP + procurement staff,Supply-chain resilience (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Post-hoc inspection + manual RCA,"$6,000,000/yr",1.2M invoices/yr,Very high manual effort,CMMS + preventive schedules,"ERP POs/invoices, contract repository",Available; external ingestion effort,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,No,Predictive models on streaming IoT; high complexity,Medium,Supervised,TRUE,Yes,Medium,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,AI Failure Fingerprinting for Faster Excursion Detection,Data Center Group,CHRO,HR Digital Team,ap-automation@intel.com,"Leveraging AI/ML for identifying failure patterns with unique tool fingerprint signature to narrow down suspected process steps/tools leading to faster excursion detection, increased yield and fab output",Working capital + service level,25-40% unplanned downtime reduction,Planning org,Yield/quality (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Time-based preventive maintenance,"$5,200,000/yr (pre-automation)",Enterprise IBP demand plan,High manual effort,ERP + legacy OCR,"HCM, policy docs, benefits KB",Available; sensor data quality varies,Vertex AI Forecasting + BigQuery ML,Yes (batch + streaming),Cross-system reconciliation; medium complexity,Medium,Supervised,FALSE,Yes,Medium,Medium,Build (engineer it),PII redaction layer verified before GA,intake,,
,Enterprise MCP Adoption and AI Integration,IT,CHRO,Quality Engineering,askhr@intel.com,Enterprise-wide MCP adoption ensuring consistent AI integration across critical applications,Yield + scrap cost,85% touchless match rate,Maintenance + Ops,Yield/quality (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Post-hoc inspection + manual RCA,"$6,000,000/yr",Fleet-wide equipment,Manual matching backlog,ERP + legacy OCR,"ERP POs/invoices, contract repository",Available across systems,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,No,Custom forecasting models; high complexity,High,Supervised,FALSE,Yes,High,Medium,Build (engineer it),PII redaction layer verified before GA,intake,,
,AI-Automated MBPS and 8D Report Processing,Finance,CTO,Quality Engineering,quality@intel.com,"Automate the Model?Based Problem?Solving (MBPS) workflow using AI to generate hypotheses, evaluate evidence, guide DOE, and update ILM, significantly accelerating issue resolution while reducing manual analyst workload.

Deploy AI?driven automation to extract and normalize data from diverse 8D report formats into ILM, reducing manual effort, improving data accuracy, accelerating event creation, and strengthening compliance and traceability.",Yield + scrap cost,2-5% contract value recovered,Maintenance + Ops,Margin recovery (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Post-hoc inspection + manual RCA,"$7,500,000/yr",<5% of contracts covered,Manual matching backlog,ERP + spreadsheets,"QM inspection, MES process params, BigQuery",Available; MES integration effort,Vertex AI Forecasting + BigQuery ML,No (batch + API),Defect prediction + RCA models; high complexity,Medium,Automated w/ exception review,FALSE,Yes,Medium,Medium,Build (engineer it),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,Intelligent Quality Document Search and Reuse Assistant,Client Computing,CHRO,Procurement Analytics,procurement@intel.com,"AI Agent for Document Locator to reduce “how?do?I” support, enable intelligent quality document search, increase reuse of approved content and templates, and improve consistency in how policies and procedures are applied.",Yield + scrap cost,20-35% scrap/rework reduction,Maintenance + Ops,Asset uptime (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Time-based preventive maintenance,"$7,500,000/yr",Enterprise IBP demand plan,High manual effort; reactive,Integrated business planning suite,"ERP, supplier portal, PO/GRN tables",Available; MES integration effort,Document AI; BigQuery; ERP connector,Yes (streaming),Delivered on Document AI + reconciliation service,Medium,Supervised,FALSE,Yes,Medium,Medium,Build (engineer it),Delivered example row â€” shows how to mark a completed use case.,panel,,
,Intelligent AI-Powered Post-Silicon Engineering Debug Assistant,IT,CIO,Reliability Engineering,askhr@intel.com,"Debug Assistant is an AI-powered system that helps engineers quickly analyze, understand, and fix product post-si bugs by combining data access, code insights, and natural language interaction.",Yield + scrap cost,15-25% inventory reduction,Maintenance + Ops,Yield/quality (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Time-based preventive maintenance,"$12,000,000/yr",All production batches,Very high manual effort,CMMS + preventive schedules,"QM inspection, MES process params, BigQuery",Available across systems,Gemini for Google Workspace; Agentspace,No (batch + API),Predictive models on streaming IoT; high complexity,Medium,Supervised,FALSE,Yes,High,Medium,Adopt (start simple),Delivered example row â€” shows how to mark a completed use case.,panel,,
,Shared AI Artifact Marketplace for Product Teams,HR,CEO,Quality Engineering,supplychain@intel.com,"AI Marketplace for Product Teams is a shared platform that enables teams to reuse and scale artifacts such as agents, MCPs and skills across the organization's",Working capital + service level,15-25% inventory reduction,Planning org,Asset uptime (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Manual spot-audit of contracts vs POs,"$12,000,000/yr",All production batches,Very high manual effort,ERP + legacy OCR,"ERP, supplier portal, PO/GRN tables",Available across systems,Gemini for Google Workspace; Agentspace,No,Predictive models on streaming IoT; high complexity,High,Advisory,FALSE,Yes,High,Medium,Adopt (start simple),Delivered example row â€” shows how to mark a completed use case.,intake,,
,Agentic iBI and AXON Analytics Platforms,Legal,CTO,Procurement Analytics,supplychain@intel.com,"Advance iBI and AXON from data tools into AI-powered platforms where we have the foundation of MCPs available for agents, intelligent agents can analyze data, generate insights, and automate actions",Working capital + service level,60-70% helpdesk deflection,Maintenance + Ops,Yield/quality (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Manual spot-audit of contracts vs POs,"$12,000,000/yr",<5% of contracts covered,Manual matching backlog,HCM ticketing system,"IBP demand history, external signals, BigQuery",Available across systems,Gemini for Google Workspace; Agentspace,Yes (streaming),Delivered on Document AI + reconciliation service,Medium,Supervised,FALSE,Yes,Medium,Low,Adopt (start simple),Delivered example row â€” shows how to mark a completed use case.,intake,,
,AI Adoption Impact and Usage Analytics,Sales,CFO,Reliability Engineering,procurement@intel.com,AI adoption and usage analytics to measure impact and drive scaled adoption,Margin recovery,2-5% contract value recovered,Planning org,Margin recovery (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Manual spot-audit of contracts vs POs,"$5,200,000/yr (pre-automation)","42,000 tickets/mo",Very high manual effort,QM inspection + MES,"QM inspection, MES process params, BigQuery",Readily available & clean,Vertex AI + BigQuery ML + Looker,No (batch + API),Custom forecasting models; high complexity,Medium,Supervised,TRUE,Yes,High,Medium,Adopt (start simple),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,GenAI-Enabled Customer Engineering Workflow Productivity Improvement,Marketing,CFO,Reliability Engineering,askhr@intel.com,Enhance CCG customer engineers’ productivity and customer response SLA by embedding GenAI into core Customer Engineering workflows.,Employee experience + cost-to-serve,20-35% scrap/rework reduction,Quality + Production,Margin recovery (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Manual HR helpdesk + ticketing,"$7,500,000/yr",Fleet-wide equipment,High manual effort; reactive,CMMS + preventive schedules,"ERP, supplier portal, PO/GRN tables",Available across systems,Document AI; BigQuery; ERP connector,No,Defect prediction + RCA models; high complexity,High,Automated w/ exception review,TRUE,Yes,High,Medium,Build (engineer it),Delivered example row â€” shows how to mark a completed use case.,intake,,
,Agentic Power Performance Insights and Root-Cause Analysis,IT,CEO,Quality Engineering,askhr@intel.com,Embed AI?driven interaction and agentic analytics into PTP Central to deliver a unified agentic power and performance solution across IP ? SoC ? Platform and Pre?Si ? Post?Si. The PTP agents will generate Managerial and Engineering insights for Client and Sever and root-cause analysis for Regression runs.,Employee experience + cost-to-serve,25-40% unplanned downtime reduction,Procurement + AP,Asset uptime (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Delivered â€” live in production,"$5,200,000/yr (pre-automation)",All production batches,High manual effort; late detection,QM inspection + MES,"IBP demand history, external signals, BigQuery",Available across systems,Document AI; BigQuery; ERP connector,Yes (API + streaming),Defect prediction + RCA models; high complexity,Medium,Supervised,TRUE,Yes,Medium,Medium,Extend (scale smart),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,AI-Powered Validation Lab Utilization Intelligence Agent,IT,COO,Supply Chain Planning,ap-automation@intel.com,Enable AI-powered visibility into validation lab utilization by embedding an intelligent agent that combines platform assets metadata with lab assets and storage data to deliver comprehensive utilization insights.,Margin recovery,2-5% contract value recovered,Quality + Production,Margin recovery (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Manual HR helpdesk + ticketing,"$5,200,000/yr (pre-automation)",Enterprise IBP demand plan,High manual effort,QM inspection + MES,"ERP POs/invoices, contract repository",Available across systems,Vertex AI Forecasting + BigQuery ML,Yes (batch + streaming),Delivered on Document AI + reconciliation service,Medium,Supervised,FALSE,Yes,Medium,Low,Build (engineer it),Delivered example row â€” shows how to mark a completed use case.,intake,,
,Agentic Product Execution Analytics and Self-Service Workflows,Foundry,CFO,Procurement Analytics,ap-automation@intel.com,The solution delivers the foundational agents and MCPs on top product execution data and allow analysis on top of the key dashboards and core datasets for intel product analysts and management. The solution transforms self-service capabilities into agentic workflows on iBI Cloud through MCP?exposed APIs.,Employee experience + cost-to-serve,25-40% unplanned downtime reduction,Quality + Production,Margin recovery (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Delivered â€” live in production,"$9,000,000/yr",1.2M invoices/yr,Very high manual effort,ERP + legacy OCR,"IoT sensors (Pub/Sub), maintenance history",Readily available & clean,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,Yes (API + streaming),Defect prediction + RCA models; high complexity,Medium,Advisory,TRUE,Yes,High,Medium,Build (engineer it),Delivered example row â€” shows how to mark a completed use case.,intake,,
,Centralized AI-Ready HSD Data in Databricks,IT,CIO,Reliability Engineering,supplychain@intel.com,"Centralize HSD DW data (history and current data) in Databricks to enable scalable, AI?ready access across engineering teams. ",Employee experience + cost-to-serve,25-40% unplanned downtime reduction,600 AP + procurement staff,Finance operational excellence,Est. annual value $48M; baseline 6.2% unplanned downtime,Post-hoc inspection + manual RCA,"$5,200,000/yr (pre-automation)",Enterprise IBP demand plan,High manual effort; reactive,HCM ticketing system,"IBP demand history, external signals, BigQuery",Readily available & clean,Vertex AI + BigQuery ML + Looker,Yes (batch + streaming),Cross-system reconciliation; medium complexity,Medium,Advisory,FALSE,Yes,Medium,Low,Extend (scale smart),Human approval on all recovery actions; SOX control sign-off,intake,,
,Cross-Environment PTP Trace Correlation Analysis Agent,Data Center Group,CEO,Reliability Engineering,supplychain@intel.com,"Enable AI-powered correlation analysis across Pre-Si, Emulation, and Post-Si environments by embedding an intelligent agent that provides trace-level PTP correlation to ensure accurate apples-to-apples comparison of workloads across different platforms.",Working capital + service level,85% touchless match rate,Planning org,Finance operational excellence,Realized $4.1M annual savings; 9-day â†’ 2-day cycle,Manual HR helpdesk + ticketing,"$7,500,000/yr",Enterprise IBP demand plan,Manual matching backlog,CMMS + preventive schedules,"IoT sensors (Pub/Sub), maintenance history",Available across systems,Vertex AI Forecasting + BigQuery ML,Yes (API + streaming),Custom forecasting models; high complexity,High,Advisory,FALSE,Yes,Medium,Medium,Build (engineer it),Supervisor approval on auto work orders until precision >90% on pilot line,intake,,
,Hierarchical CPU Power Tracking and Projection Intelligence,HR,CHRO,HR Digital Team,askhr@intel.com,"provides an AI-powered, hierarchical view of CPU power consumption to track targets, identify variances, and improve Pre-Si power projections across dynamic, static, and leakage dimensions.",Cost-to-serve + cycle time,15-25% inventory reduction,Procurement + AP,Margin recovery (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Time-based preventive maintenance,"$7,500,000/yr",1.2M invoices/yr,High manual effort; reactive,QM inspection + MES,"ERP, supplier portal, PO/GRN tables",Readily available & clean,Vertex AI Forecasting + BigQuery ML,Yes (API + streaming),Predictive models on streaming IoT; high complexity,Medium,Advisory,FALSE,Yes,Medium,Low,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Automated HVPIP Lab Tracking Audit Alerts,Supply Chain,CTO,Quality Engineering,supplychain@intel.com,AI agent that proactively identifies and flags High Value Physical Intellectual Property (HVPIP) units missing from lab tracking for over 30 days to support quarterly audit readiness.,Working capital + service level,25-40% unplanned downtime reduction,Planning org,Finance operational excellence,Est. annual value $22M; currently <5% of contracts audited,Manual spot-audit of contracts vs POs,"$9,000,000/yr",All production batches,Manual matching backlog,CMMS + preventive schedules,"HCM, policy docs, benefits KB",Available; external ingestion effort,Gemini for Google Workspace; Agentspace,Yes (batch + streaming),Delivered on Document AI + reconciliation service,Medium,Automated w/ exception review,FALSE,Yes,Medium,Low,Build (engineer it),PII redaction layer verified before GA,intake,,
,Market Signal and Revenue Exposure Intelligence,Marketing,CTO,Reliability Engineering,procurement@intel.com,"CPOG planners today rely on fragmented, manually-assembled market data from multiple disconnected sources — industry analyst reports, broker calls, TAM/SAM models — with no systematic way to correlate external market shifts (tariffs, geopolitical disruptions, competitor capacity additions) to Intel's internal demand commits and revenue exposure. Result: Decisions are made 2–4 weeks too late, with no quantified revenue impact estimate, leading to missed commits, customer escalations, or costly over-allocation.",Yield + scrap cost,15-25% inventory reduction,"110,000 employees",Yield/quality (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Manual spot-audit of contracts vs POs,"$5,200,000/yr (pre-automation)",Fleet-wide equipment,High manual effort; low accuracy,ERP + spreadsheets,"HCM, policy docs, benefits KB",Readily available & clean,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,No,Native connectors; low complexity,Medium,Advisory,FALSE,Yes,Medium,Low,Adopt (start simple),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Unified Supply Planning and What-If Scenario Modeling,Client Computing,CEO,Reliability Engineering,supplychain@intel.com,"Today's supply planning at Intel CPOG operates in silos: TSMC capacity, memory allocation, substrate commitments, and silicon builds are planned in separate tools with separate teams. There is no unified E2E visibility layer that shows a single coherent plan — and no way to instantly model 'What if TSMC reduces allocation by 15%?' or 'What if a key customer moves demand forward by one quarter?' across the full bill-of-materials chain. Result: What-if scenario analysis takes days of manual work across 4+ systems, slowing response time during critical supply disruptions.",Margin recovery,85% touchless match rate,"110,000 employees",Enterprise self-service (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Manual HR helpdesk + ticketing,"$12,000,000/yr",Fleet-wide equipment,Very high manual effort,Integrated business planning suite,"IBP demand history, external signals, BigQuery",Readily available & clean,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,Yes (streaming),Cross-system reconciliation; medium complexity,Medium,Supervised,TRUE,Yes,High,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Real-Time POR Supply Risk and Deviation Monitoring,Supply Chain,CEO,Procurement Analytics,supplychain@intel.com,"Intel's Plan-of-Record (POR) process — the formal commit of what will be built and shipped — is currently disconnected from live supply risk signals. Risk assessments are done manually by a small team using backward-looking data, and the gap between 'committed POR' and 'actual supply capability' is often only discovered at the point of failure. The use case targets: Trend-to-POR deviation detection, committed-to-actual tracking, and forecast-to-actuals reconciliation — all automated and surfaced in real time",Margin recovery,2-5% contract value recovered,Planning org,Asset uptime (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Manual HR helpdesk + ticketing,"$12,000,000/yr",<5% of contracts covered,High manual effort; late detection,ERP + legacy OCR,"HCM, policy docs, benefits KB",Available across systems,Document AI; BigQuery; ERP connector,Yes (batch + streaming),Delivered on Document AI + reconciliation service,Medium,Advisory,FALSE,Yes,High,Low,Adopt (start simple),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,Explainable AI Forecasts for Supply Planning,Finance,CFO,Supply Chain Planning,procurement@intel.com,"AI and ML models deployed across CPOG supply chain planning are currently 'black boxes' — they produce forecasts and recommendations but cannot explain WHY. This creates a trust deficit: experienced planners override valid AI recommendations because they can't see the reasoning, and managers can't build confidence in AI-generated commits during escalations. The use case must solve: (1) By-supplier explainability — why is supplier X flagged? (2) In-process explainability — what drove this forecast change? (3) What-if narratives.",Yield + scrap cost,15-25% inventory reduction,Procurement + AP,Supply-chain resilience (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Time-based preventive maintenance,"$6,000,000/yr",Enterprise IBP demand plan,High manual effort; late detection,CMMS + preventive schedules,"HCM, policy docs, benefits KB",Available across systems,Gemini for Google Workspace; Agentspace,No,Predictive models on streaming IoT; high complexity,High,Supervised,FALSE,Yes,Medium,Low,Build (engineer it),PII redaction layer verified before GA,intake,,
,AI-Controlled Enterprise Program Delivery Alignment Platform,Legal,CEO,Procurement Analytics,procurement@intel.com,"AI-driven control layer for IAO, S/4, Blue Yonder and related programs, ensuring requirements, design, build, testing, and deployment are fully aligned with no process gaps.",Employee experience + cost-to-serve,25-40% unplanned downtime reduction,600 AP + procurement staff,Margin recovery (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Time-based preventive maintenance,"$5,200,000/yr (pre-automation)",<5% of contracts covered,High manual effort; reactive,ERP + spreadsheets,"IoT sensors (Pub/Sub), maintenance history",Readily available & clean,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,Yes (batch + streaming),Cross-system reconciliation; medium complexity,Medium,Automated w/ exception review,FALSE,Yes,Medium,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Supply Forecast Accuracy and Supplier Confidence Improvement,HR,CFO,Quality Engineering,supplychain@intel.com,Current build plan forecast with a inconsistency ~85% accuracy cycle-over-cycle; PO forecast accuracy 58.9% (28nm). Suppliers distrust Intel signals & restrict capacity allocation. ,Uptime + OEE,25-40% unplanned downtime reduction,Procurement + AP,Asset uptime (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Delivered â€” live in production,"$4,000,000/yr",All production batches,High manual effort; late detection,Integrated business planning suite,"QM inspection, MES process params, BigQuery",Available; external ingestion effort,Vertex AI Forecasting + BigQuery ML,No,Native connectors; low complexity,Medium,Supervised,TRUE,Yes,Medium,Medium,Adopt (start simple),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Cross-Functional AI Contract Negotiation and Review,Marketing,CEO,Supply Chain Planning,supplychain@intel.com,"A cross-functional AI capability for Procurement, Finance, and Legal that accelerates contract review, negotiation, and decision-making across the enterprise. The solution addresses a high-volume workload of roughly 1,000 negotiations per year, where cycle times can range from 1 to 18 months and many critical activities still occur manually",Cost-to-serve + cycle time,20-35% scrap/rework reduction,Maintenance + Ops,Enterprise self-service (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Post-hoc inspection + manual RCA,"$12,000,000/yr",<5% of contracts covered,High manual effort; late detection,HCM ticketing system,"HCM, policy docs, benefits KB",Readily available & clean,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,No,Predictive models on streaming IoT; high complexity,Medium,Supervised,TRUE,Yes,High,Medium,Build (engineer it),Human approval on all recovery actions; SOX control sign-off,panel,,
,Unified Enterprise Spend Approval Intelligence Platform,Data Center Group,CEO,HR Digital Team,quality@intel.com,"Intel’s current spend approval processes are fragmented across multiple systems (SAC, Fieldglass, Ariba, Readsoft, non?PO tools, and ERP platforms such as ECC/S4), each with different data views and user experiences. Approvers—especially senior leaders—do not get a consistent, end?to?end picture of what they are approving, which slows decisions and increases risk.",Cost-to-serve + cycle time,60-70% helpdesk deflection,Quality + Production,Asset uptime (top AI priority),Realized $4.1M annual savings; 9-day â†’ 2-day cycle,Post-hoc inspection + manual RCA,"$7,500,000/yr","42,000 tickets/mo",High manual effort; reactive,Integrated business planning suite,"QM inspection, MES process params, BigQuery",Readily available & clean,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,No,Defect prediction + RCA models; high complexity,Medium,Advisory,TRUE,Yes,Medium,Medium,Extend (scale smart),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,GenAI AskHR Inquiry Resolution and Automation,IT,CIO,HR Digital Team,supplychain@intel.com,"GenAI-powered AskHR enabling faster responses, improved resolution rates, and automated handling of HR inquiries, reducing manual effort and escalation volume. (Replace existing AskHR - Avaamo).",Uptime + OEE,25-40% unplanned downtime reduction,Quality + Production,Margin recovery (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Time-based preventive maintenance,"$4,000,000/yr","42,000 tickets/mo",Manual matching backlog,ERP + legacy OCR,"IBP demand history, external signals, BigQuery",Readily available & clean,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,No,Native connectors; low complexity,Medium,Advisory,FALSE,Yes,High,Medium,Build (engineer it),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,AI Assistant for HR Policy Guidance,Legal,CHRO,Supply Chain Planning,supplychain@intel.com,"AI-powered Assistant for HR Workers that increases efficiency and accuracy by simplifying how HR policies, processes, and procedures are searched, interpreted, and summarized (CPM Agent live in GER, Listening Sessions live).",Yield + scrap cost,20-35% scrap/rework reduction,Planning org,Yield/quality (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Manual HR helpdesk + ticketing,"$5,200,000/yr (pre-automation)",Fleet-wide equipment,Manual matching backlog,Integrated business planning suite,"ERP POs/invoices, contract repository",Readily available & clean,Document AI; BigQuery; ERP connector,Yes (batch + streaming),Custom forecasting models; high complexity,Medium,Advisory,TRUE,Yes,Medium,Low,Extend (scale smart),Supervisor approval on auto work orders until precision >90% on pilot line,intake,,
